,DOM,delay,Time
1,2.0,3.0,1620656631.9
2,6.0,4.0,1620656631.9
3,11.0,1.0,1620656631.9
4,12.0,-1.0,1620656631.9
5,13.0,2.0,1620656631.9
6,14.0,-7.0,1620656631.9
7,16.0,-3.0,1620656631.9
8,18.0,-7.0,1620656631.9
9,2.0,3.0,1620656632.9
10,6.0,4.0,1620656632.9
11,11.0,2.0,1620656632.9
12,12.0,-1.0,1620656632.9
13,13.0,3.0,1620656632.9
14,14.0,-7.0,1620656632.9
15,16.0,-3.0,1620656632.9
16,18.0,-7.0,1620656632.9
17,2.0,3.0,1620656633.9
18,6.0,4.0,1620656633.9
19,11.0,1.0,1620656633.9
20,12.0,-2.0,1620656633.9
21,13.0,2.0,1620656633.9
22,14.0,-7.0,1620656633.9
23,16.0,-3.0,1620656633.9
24,18.0,-7.0,1620656633.9
25,2.0,3.0,1620656634.9
26,6.0,4.0,1620656634.9
27,11.0,2.0,1620656634.9
28,12.0,-1.0,1620656634.9
29,13.0,3.0,1620656634.9
30,14.0,-7.0,1620656634.9
31,16.0,-3.0,1620656634.9
32,18.0,-7.0,1620656634.9
33,2.0,4.0,1620656635.9
34,6.0,5.0,1620656635.9
35,11.0,2.0,1620656635.9
36,12.0,-1.0,1620656635.9
37,13.0,3.0,1620656635.9
38,14.0,-6.0,1620656635.9
39,16.0,-3.0,1620656635.9
40,18.0,-7.0,1620656635.9
41,2.0,3.0,1620656636.9
42,6.0,4.0,1620656636.9
43,11.0,1.0,1620656636.9
44,12.0,-1.0,1620656636.9
45,13.0,2.0,1620656636.9
46,14.0,-7.0,1620656636.9
47,16.0,-3.0,1620656636.9
48,18.0,-7.0,1620656636.9
49,2.0,3.0,1620656638.0
50,6.0,4.0,1620656638.0
51,11.0,1.0,1620656638.0
52,12.0,-2.0,1620656638.0
53,13.0,2.0,1620656638.0
54,14.0,-7.0,1620656638.0
55,16.0,-3.0,1620656638.0
56,18.0,-8.0,1620656638.0
57,2.0,3.0,1620656639.0
58,6.0,4.0,1620656639.0
59,11.0,1.0,1620656639.0
60,12.0,-2.0,1620656639.0
61,13.0,2.0,1620656639.0
62,14.0,-7.0,1620656639.0
63,16.0,-4.0,1620656639.0
64,18.0,-8.0,1620656639.0
65,2.0,3.0,1620656640.0
66,6.0,4.0,1620656640.0
67,11.0,1.0,1620656640.0
68,12.0,-1.0,1620656640.0
69,13.0,3.0,1620656640.0
70,14.0,-7.0,1620656640.0
71,16.0,-3.0,1620656640.0
72,18.0,-7.0,1620656640.0
73,2.0,3.0,1620656641.0
74,6.0,4.0,1620656641.0
75,11.0,1.0,1620656641.0
