,DOM,TSCounter,time
1,1.0,1620656631.9,7928149.0
2,2.0,1620656631.9,7928152.0
3,6.0,1620656631.9,7928153.0
4,11.0,1620656631.9,7928150.0
5,12.0,1620656631.9,7928148.0
6,13.0,1620656631.9,7928151.0
7,14.0,1620656631.9,7928142.0
8,16.0,1620656631.9,7928146.0
9,18.0,1620656631.9,7928142.0
10,1.0,1620656632.9,24648442.0
11,2.0,1620656632.9,24648445.0
12,6.0,1620656632.9,24648446.0
13,11.0,1620656632.9,24648444.0
14,12.0,1620656632.9,24648441.0
15,13.0,1620656632.9,24648445.0
16,14.0,1620656632.9,24648435.0
17,16.0,1620656632.9,24648439.0
18,18.0,1620656632.9,24648435.0
19,1.0,1620656633.9,41368813.0
20,2.0,1620656633.9,41368816.0
21,6.0,1620656633.9,41368817.0
22,11.0,1620656633.9,41368814.0
23,12.0,1620656633.9,41368811.0
24,13.0,1620656633.9,41368815.0
25,14.0,1620656633.9,41368806.0
26,16.0,1620656633.9,41368810.0
27,18.0,1620656633.9,41368806.0
28,1.0,1620656634.9,58088767.0
29,2.0,1620656634.9,58088770.0
30,6.0,1620656634.9,58088771.0
31,11.0,1620656634.9,58088769.0
32,12.0,1620656634.9,58088766.0
33,13.0,1620656634.9,58088770.0
34,14.0,1620656634.9,58088760.0
35,16.0,1620656634.9,58088764.0
36,18.0,1620656634.9,58088760.0
37,1.0,1620656635.9,74808450.0
38,2.0,1620656635.9,74808454.0
39,6.0,1620656635.9,74808455.0
40,11.0,1620656635.9,74808452.0
41,12.0,1620656635.9,74808449.0
42,13.0,1620656635.9,74808453.0
43,14.0,1620656635.9,74808444.0
44,16.0,1620656635.9,74808447.0
45,18.0,1620656635.9,74808443.0
46,1.0,1620656636.9,91529099.0
47,2.0,1620656636.9,91529102.0
48,6.0,1620656636.9,91529103.0
49,11.0,1620656636.9,91529100.0
50,12.0,1620656636.9,91529098.0
51,13.0,1620656636.9,91529101.0
52,14.0,1620656636.9,91529092.0
53,16.0,1620656636.9,91529096.0
54,18.0,1620656636.9,91529092.0
55,1.0,1620656638.0,8249503.0
56,2.0,1620656638.0,8249506.0
57,6.0,1620656638.0,8249507.0
58,11.0,1620656638.0,8249504.0
59,12.0,1620656638.0,8249501.0
60,13.0,1620656638.0,8249505.0
61,14.0,1620656638.0,8249496.0
62,16.0,1620656638.0,8249500.0
63,18.0,1620656638.0,8249495.0
64,1.0,1620656639.0,24969828.0
65,2.0,1620656639.0,24969831.0
66,6.0,1620656639.0,24969832.0
67,11.0,1620656639.0,24969829.0
68,12.0,1620656639.0,24969826.0
69,13.0,1620656639.0,24969830.0
70,14.0,1620656639.0,24969821.0
71,16.0,1620656639.0,24969824.0
72,18.0,1620656639.0,24969820.0
73,1.0,1620656640.0,41690058.0
74,2.0,1620656640.0,41690061.0
75,6.0,1620656640.0,41690062.0
76,11.0,1620656640.0,41690059.0
77,12.0,1620656640.0,41690057.0
78,13.0,1620656640.0,41690061.0
79,14.0,1620656640.0,41690051.0
80,16.0,1620656640.0,41690055.0
81,18.0,1620656640.0,41690051.0
82,1.0,1620656641.0,58410713.0
83,2.0,1620656641.0,58410716.0
84,6.0,1620656641.0,58410717.0
85,11.0,1620656641.0,58410714.0
86,12.0,1620656641.0,58410711.0
87,13.0,1620656641.0,58410715.0
88,14.0,1620656641.0,58410706.0
89,16.0,1620656641.0,58410710.0
90,18.0,1620656641.0,58410706.0
91,1.0,1620656642.0,75131392.0
92,2.0,1620656642.0,75131396.0
93,6.0,1620656642.0,75131397.0
94,11.0,1620656642.0,75131394.0
95,12.0,1620656642.0,75131391.0
96,13.0,1620656642.0,75131395.0
97,14.0,1620656642.0,75131386.0
98,16.0,1620656642.0,75131389.0
99,18.0,1620656642.0,75131385.0
100,1.0,1620656643.0,91852388.0
101,2.0,1620656643.0,91852391.0
102,6.0,1620656643.0,91852392.0
103,11.0,1620656643.0,91852389.0
104,12.0,1620656643.0,91852386.0
105,13.0,1620656643.0,91852390.0
106,14.0,1620656643.0,91852381.0
107,16.0,1620656643.0,91852385.0
108,18.0,1620656643.0,91852381.0
109,1.0,1620656644.1,8573136.0
110,2.0,1620656644.1,8573139.0
111,6.0,1620656644.1,8573140.0
112,11.0,1620656644.1,8573137.0
113,12.0,1620656644.1,8573134.0
114,13.0,1620656644.1,8573138.0
115,14.0,1620656644.1,8573129.0
116,16.0,1620656644.1,8573133.0
117,18.0,1620656644.1,8573129.0
118,1.0,1620656645.1,25293579.0
119,2.0,1620656645.1,25293582.0
120,6.0,1620656645.1,25293583.0
121,11.0,1620656645.1,25293581.0
122,12.0,1620656645.1,25293578.0
123,13.0,1620656645.1,25293582.0
124,14.0,1620656645.1,25293572.0
125,16.0,1620656645.1,25293576.0
126,18.0,1620656645.1,25293572.0
127,1.0,1620656646.1,42014638.0
128,2.0,1620656646.1,42014642.0
129,6.0,1620656646.1,42014643.0
130,11.0,1620656646.1,42014640.0
131,12.0,1620656646.1,42014637.0
132,13.0,1620656646.1,42014641.0
133,14.0,1620656646.1,42014632.0
134,16.0,1620656646.1,42014635.0
135,18.0,1620656646.1,42014631.0
136,1.0,1620656647.1,58734777.0
137,2.0,1620656647.1,58734780.0
138,6.0,1620656647.1,58734781.0
139,11.0,1620656647.1,58734778.0
140,12.0,1620656647.1,58734776.0
141,13.0,1620656647.1,58734779.0
142,14.0,1620656647.1,58734770.0
143,16.0,1620656647.1,58734774.0
144,18.0,1620656647.1,58734770.0
145,1.0,1620656648.1,75455175.0
146,2.0,1620656648.1,75455179.0
147,6.0,1620656648.1,75455180.0
148,11.0,1620656648.1,75455177.0
149,12.0,1620656648.1,75455174.0
150,13.0,1620656648.1,75455178.0
151,14.0,1620656648.1,75455169.0
152,16.0,1620656648.1,75455172.0
153,18.0,1620656648.1,75455168.0
154,1.0,1620656649.1,92176098.0
155,2.0,1620656649.1,92176101.0
156,6.0,1620656649.1,92176102.0
157,11.0,1620656649.1,92176099.0
158,12.0,1620656649.1,92176097.0
159,13.0,1620656649.1,92176101.0
160,14.0,1620656649.1,92176091.0
161,16.0,1620656649.1,92176095.0
162,18.0,1620656649.1,92176091.0
163,1.0,1620656650.2,8896909.0
164,2.0,1620656650.2,8896912.0
165,6.0,1620656650.2,8896913.0
166,11.0,1620656650.2,8896910.0
167,12.0,1620656650.2,8896908.0
168,13.0,1620656650.2,8896911.0
169,14.0,1620656650.2,8896902.0
170,16.0,1620656650.2,8896906.0
171,18.0,1620656650.2,8896902.0
172,1.0,1620656651.2,25617520.0
173,2.0,1620656651.2,25617524.0
174,6.0,1620656651.2,25617525.0
175,11.0,1620656651.2,25617522.0
176,12.0,1620656651.2,25617519.0
177,13.0,1620656651.2,25617523.0
178,14.0,1620656651.2,25617514.0
179,16.0,1620656651.2,25617517.0
180,18.0,1620656651.2,25617513.0
181,1.0,1620656652.2,42338577.0
182,2.0,1620656652.2,42338580.0
183,6.0,1620656652.2,42338581.0
184,11.0,1620656652.2,42338579.0
185,12.0,1620656652.2,42338576.0
186,13.0,1620656652.2,42338580.0
187,14.0,1620656652.2,42338570.0
188,16.0,1620656652.2,42338574.0
189,18.0,1620656652.2,42338570.0
190,1.0,1620656653.2,59059284.0
191,2.0,1620656653.2,59059287.0
192,6.0,1620656653.2,59059288.0
193,11.0,1620656653.2,59059286.0
194,12.0,1620656653.2,59059283.0
195,13.0,1620656653.2,59059287.0
196,14.0,1620656653.2,59059277.0
197,16.0,1620656653.2,59059281.0
198,18.0,1620656653.2,59059277.0
199,1.0,1620656654.2,75779609.0
200,2.0,1620656654.2,75779613.0
201,6.0,1620656654.2,75779614.0
202,11.0,1620656654.2,75779611.0
203,12.0,1620656654.2,75779608.0
204,13.0,1620656654.2,75779612.0
205,14.0,1620656654.2,75779603.0
206,16.0,1620656654.2,75779606.0
207,18.0,1620656654.2,75779602.0
208,1.0,1620656655.2,92499476.0
209,2.0,1620656655.2,92499479.0
210,6.0,1620656655.2,92499480.0
211,11.0,1620656655.2,92499477.0
212,12.0,1620656655.2,92499474.0
213,13.0,1620656655.2,92499478.0
214,14.0,1620656655.2,92499469.0
215,16.0,1620656655.2,92499473.0
216,18.0,1620656655.2,92499468.0
217,1.0,1620656656.3,9220272.0
218,2.0,1620656656.3,9220275.0
219,6.0,1620656656.3,9220276.0
220,11.0,1620656656.3,9220274.0
221,12.0,1620656656.3,9220271.0
222,13.0,1620656656.3,9220275.0
223,14.0,1620656656.3,9220265.0
224,16.0,1620656656.3,9220269.0
225,18.0,1620656656.3,9220265.0
226,1.0,1620656657.3,25940895.0
227,2.0,1620656657.3,25940898.0
228,6.0,1620656657.3,25940899.0
229,11.0,1620656657.3,25940896.0
230,12.0,1620656657.3,25940894.0
231,13.0,1620656657.3,25940897.0
232,14.0,1620656657.3,25940888.0
233,16.0,1620656657.3,25940892.0
234,18.0,1620656657.3,25940888.0
235,1.0,1620656658.3,42661847.0
236,2.0,1620656658.3,42661850.0
237,6.0,1620656658.3,42661851.0
238,11.0,1620656658.3,42661849.0
239,12.0,1620656658.3,42661846.0
240,13.0,1620656658.3,42661850.0
241,14.0,1620656658.3,42661840.0
242,16.0,1620656658.3,42661844.0
243,18.0,1620656658.3,42661840.0
244,1.0,1620656659.3,59382386.0
245,2.0,1620656659.3,59382389.0
246,6.0,1620656659.3,59382390.0
247,11.0,1620656659.3,59382387.0
248,12.0,1620656659.3,59382385.0
249,13.0,1620656659.3,59382388.0
250,14.0,1620656659.3,59382379.0
251,16.0,1620656659.3,59382383.0
252,18.0,1620656659.3,59382379.0
253,1.0,1620656660.3,76102932.0
254,2.0,1620656660.3,76102935.0
255,6.0,1620656660.3,76102936.0
256,11.0,1620656660.3,76102933.0
257,12.0,1620656660.3,76102930.0
258,13.0,1620656660.3,76102934.0
259,14.0,1620656660.3,76102925.0
260,16.0,1620656660.3,76102929.0
261,18.0,1620656660.3,76102925.0
262,1.0,1620656661.3,92823819.0
263,2.0,1620656661.3,92823822.0
264,6.0,1620656661.3,92823823.0
265,11.0,1620656661.3,92823821.0
266,12.0,1620656661.3,92823818.0
267,13.0,1620656661.3,92823822.0
268,14.0,1620656661.3,92823812.0
269,16.0,1620656661.3,92823816.0
270,18.0,1620656661.3,92823812.0
271,1.0,1620656662.4,9544901.0
272,2.0,1620656662.4,9544905.0
273,6.0,1620656662.4,9544906.0
274,11.0,1620656662.4,9544903.0
275,12.0,1620656662.4,9544900.0
276,13.0,1620656662.4,9544904.0
277,14.0,1620656662.4,9544895.0
278,16.0,1620656662.4,9544898.0
279,18.0,1620656662.4,9544894.0
280,1.0,1620656663.4,26265081.0
281,2.0,1620656663.4,26265084.0
282,6.0,1620656663.4,26265085.0
283,11.0,1620656663.4,26265082.0
284,12.0,1620656663.4,26265079.0
285,13.0,1620656663.4,26265083.0
286,14.0,1620656663.4,26265074.0
287,16.0,1620656663.4,26265078.0
288,18.0,1620656663.4,26265073.0
289,1.0,1620656664.4,42985798.0
290,2.0,1620656664.4,42985801.0
291,6.0,1620656664.4,42985802.0
292,11.0,1620656664.4,42985800.0
293,12.0,1620656664.4,42985797.0
294,13.0,1620656664.4,42985801.0
295,14.0,1620656664.4,42985791.0
296,16.0,1620656664.4,42985795.0
297,18.0,1620656664.4,42985791.0
298,1.0,1620656665.4,59706512.0
299,2.0,1620656665.4,59706515.0
300,6.0,1620656665.4,59706516.0
301,11.0,1620656665.4,59706514.0
302,12.0,1620656665.4,59706511.0
303,13.0,1620656665.4,59706515.0
304,14.0,1620656665.4,59706505.0
305,16.0,1620656665.4,59706509.0
306,18.0,1620656665.4,59706505.0
307,1.0,1620656666.4,76426881.0
308,2.0,1620656666.4,76426885.0
309,6.0,1620656666.4,76426886.0
310,11.0,1620656666.4,76426883.0
311,12.0,1620656666.4,76426880.0
312,13.0,1620656666.4,76426884.0
313,14.0,1620656666.4,76426875.0
314,16.0,1620656666.4,76426878.0
