,DOM,time
1,1,25658602
2,2,25658606
3,6,25658607
4,11,25658597
5,12,25658607
6,13,25658599
7,14,25658602
8,16,25658605
9,18,25658601
10,1,42379810
11,2,42379814
12,6,42379814
13,11,42379805
14,12,42379815
15,13,42379807
16,14,42379809
17,16,42379813
18,18,42379809
19,1,59100336
20,2,59100339
21,6,59100340
22,11,59100331
23,12,59100340
24,13,59100332
25,14,59100335
26,16,59100339
27,18,59100334
28,1,75820864
29,2,75820867
30,6,75820868
31,11,75820859
32,12,75820869
33,13,75820860
34,14,75820863
35,16,75820867
36,18,75820863
37,1,92541763
38,2,92541766
39,6,92541767
40,11,92541758
41,12,92541768
42,13,92541759
43,14,92541762
44,16,92541766
45,18,92541762
46,1,9262804
47,2,9262808
48,6,9262808
49,11,9262799
50,12,9262809
51,13,9262801
52,14,9262804
53,16,9262807
54,18,9262803
55,1,25983395
56,2,25983398
57,6,25983399
58,11,25983390
59,12,25983400
60,13,25983391
61,14,25983394
62,16,25983398
63,18,25983394
64,1,42704167
65,2,42704170
66,6,42704171
67,11,42704162
68,12,42704172
69,13,42704163
70,14,42704166
71,16,42704170
72,18,42704166
73,1,59425455
74,2,59425458
75,6,59425459
76,11,59425450
77,12,59425460
78,13,59425451
79,14,59425454
80,16,59425458
81,18,59425454
82,1,76147118
83,2,76147121
84,6,76147122
85,11,76147113
86,12,76147122
87,13,76147114
88,14,76147117
89,16,76147121
90,18,76147116
91,1,92868206
92,2,92868209
93,6,92868210
94,11,92868201
95,12,92868211
96,13,92868202
97,14,92868205
98,16,92868209
99,18,92868205
100,1,9588505
101,2,9588508
102,6,9588509
103,11,9588500
104,12,9588510
105,13,9588501
106,14,9588504
107,16,9588508
108,18,9588504
109,1,26309290
110,2,26309293
111,6,26309294
112,11,26309285
113,12,26309294
114,13,26309286
115,14,26309289
116,16,26309293
117,18,26309288
118,1,43030251
119,2,43030254
120,6,43030255
121,11,43030246
122,12,43030256
123,13,43030247
124,14,43030250
125,16,43030254
126,18,43030250
127,1,59750435
128,2,59750439
129,6,59750440
130,11,59750431
131,12,59750440
132,13,59750432
133,14,59750435
134,16,59750438
135,18,59750434
136,1,76471611
137,2,76471615
138,6,76471615
139,11,76471606
140,12,76471616
141,13,76471607
142,14,76471610
143,16,76471614
144,18,76471610
145,1,93192242
146,2,93192246
147,6,93192247
148,11,93192238
149,12,93192247
150,13,93192239
151,14,93192242
152,16,93192245
153,18,93192241
154,1,9912824
155,2,9912827
156,6,9912828
157,11,9912819
158,12,9912829
159,13,9912820
160,14,9912823
161,16,9912827
162,18,9912823
163,1,26634011
164,2,26634014
165,6,26634015
166,11,26634006
167,12,26634016
168,13,26634007
169,14,26634010
170,16,26634014
171,18,26634010
172,1,43355034
173,2,43355037
174,6,43355038
175,11,43355029
176,12,43355039
177,13,43355030
178,14,43355033
179,16,43355037
180,18,43355033
181,1,60075734
182,2,60075738
183,6,60075739
184,11,60075730
185,12,60075739
186,13,60075731
187,14,60075734
188,16,60075737
189,18,60075733
190,1,76796339
191,2,76796342
192,6,76796343
193,11,76796334
194,12,76796344
195,13,76796335
196,14,76796338
197,16,76796342
198,18,76796338
199,1,93516976
200,2,93516979
201,6,93516980
202,11,93516971
203,12,93516981
204,13,93516972
205,14,93516975
206,16,93516979
207,18,93516975
208,1,10237541
209,2,10237544
210,6,10237545
211,11,10237536
212,12,10237545
213,13,10237537
214,14,10237540
215,16,10237544
216,18,10237540
217,1,26957449
218,2,26957453
219,6,26957453
220,11,26957444
221,12,26957454
222,13,26957446
223,14,26957449
224,16,26957452
225,18,26957448
226,1,43677845
227,2,43677848
228,6,43677849
229,11,43677840
230,12,43677849
231,13,43677841
232,14,43677844
233,16,43677847
234,18,43677843
235,1,60398856
236,2,60398860
237,6,60398861
238,11,60398852
239,12,60398861
240,13,60398853
241,14,60398856
242,16,60398859
243,18,60398855
244,1,77119696
245,2,77119700
246,6,77119700
247,11,77119691
248,12,77119701
249,13,77119693
250,14,77119696
251,16,77119699
252,18,77119695
253,1,93840436
254,2,93840439
255,6,93840440
256,11,93840431
257,12,93840441
258,13,93840433
259,14,93840435
260,16,93840439
261,18,93840435
262,1,10560909
263,2,10560912
264,6,10560913
265,11,10560904
266,12,10560914
267,13,10560905
268,14,10560908
269,16,10560912
270,18,10560908
271,1,27281954
272,2,27281957
273,6,27281958
274,11,27281949
275,12,27281959
276,13,27281950
277,14,27281953
278,16,27281957
279,18,27281953
280,1,44002856
281,2,44002859
282,6,44002860
283,11,44002851
284,12,44002861
285,13,44002852
286,14,44002855
287,16,44002859
288,18,44002855
289,1,60723180
290,2,60723183
291,6,60723184
292,11,60723175
293,12,60723184
294,13,60723176
295,14,60723179
296,16,60723183
297,18,60723179
298,1,77443721
299,2,77443724
300,6,77443725
301,11,77443716
302,12,77443726
303,13,77443717
304,14,77443720
305,16,77443724
306,18,77443720
307,1,94164735
308,2,94164738
309,6,94164739
310,11,94164730
311,12,94164739
312,13,94164731
313,14,94164734
314,16,94164738
315,18,94164734
316,1,10885126
317,2,10885130
318,6,10885130
319,11,10885121
320,12,10885131
321,13,10885123
322,14,10885125
323,16,10885129
324,18,10885125
325,1,27605437
326,2,27605441
327,6,27605441
328,11,27605432
329,12,27605442
330,13,27605434
331,14,27605436
332,16,27605440
333,18,27605436
334,1,44325309
335,2,44325312
336,6,44325313
337,11,44325304
338,12,44325314
339,13,44325305
340,14,44325308
341,16,44325312
342,18,44325307
343,1,61045959
344,2,61045962
345,6,61045963
346,11,61045954
347,12,61045963
348,13,61045955
349,14,61045958
350,16,61045961
351,18,61045957
352,1,77766039
353,2,77766042
354,6,77766043
355,11,77766034
356,12,77766044
357,13,77766035
358,14,77766038
359,16,77766042
360,18,77766038
361,1,94486181
362,2,94486184
363,6,94486185
364,11,94486176
365,12,94486186
366,13,94486177
367,14,94486180
368,16,94486184
369,18,94486180
370,1,11206651
371,2,11206654
372,6,11206655
373,11,11206646
374,12,11206656
375,13,11206647
376,14,11206650
377,16,11206654
378,18,11206650
379,1,27926502
380,2,27926505
381,6,27926506
382,11,27926497
383,12,27926507
384,13,27926498
385,14,27926501
386,16,27926505
387,18,27926501
388,1,44647044
389,2,44647047
390,6,44647048
391,11,44647039
392,12,44647049
393,13,44647040
394,14,44647043
395,16,44647047
396,18,44647043
397,1,61367865
398,2,61367868
399,6,61367869
400,11,61367860
401,12,61367869
402,13,61367861
403,14,61367864
404,16,61367868
405,18,61367864
406,1,78088670
407,2,78088673
408,6,78088674
409,11,78088665
410,12,78088674
411,13,78088666
412,14,78088669
413,16,78088673
414,18,78088668
415,1,94808825
416,2,94808828
417,6,94808829
418,11,94808820
419,12,94808830
420,13,94808821
421,14,94808824
422,16,94808828
423,18,94808824
424,1,11529586
425,2,11529589
426,6,11529590
427,11,11529581
428,12,11529591
429,13,11529582
430,14,11529585
431,16,11529589
432,18,11529585
433,1,28250368
434,2,28250372
435,6,28250372
436,11,28250363
437,12,28250373
438,13,28250365
439,14,28250367
440,16,28250371
441,18,28250367
442,1,44970744
443,2,44970748
444,6,44970748
445,11,44970739
446,12,44970749
447,13,44970740
448,14,44970743
449,16,44970747
450,18,44970743
451,1,61690997
452,2,61691000
453,6,61691001
454,11,61690992
455,12,61691002
456,13,61690993
457,14,61690996
458,16,61691000
459,18,61690996
460,1,78411660
461,2,78411664
462,6,78411664
463,11,78411656
464,12,78411665
465,13,78411657
466,14,78411660
467,16,78411663
468,18,78411659
469,1,95132570
470,2,95132574
471,6,95132575
472,11,95132566
473,12,95132575
474,13,95132567
475,14,95132570
476,16,95132573
477,18,95132569
478,1,11853722
479,2,11853726
480,6,11853726
481,11,11853717
482,12,11853727
483,13,11853718
484,14,11853721
485,16,11853725
486,18,11853721
487,1,28574519
488,2,28574522
489,6,28574523
490,11,28574514
491,12,28574524
492,13,28574515
493,14,28574518
494,16,28574522
495,18,28574518
496,1,45295483
497,2,45295486
498,6,45295487
499,11,45295478
500,12,45295488
501,13,45295479
502,14,45295482
503,16,45295486
504,18,45295482
505,1,62016280
506,2,62016283
507,6,62016284
508,11,62016275
509,12,62016285
510,13,62016276
511,14,62016279
512,16,62016283
513,18,62016279
514,1,78736876
515,2,78736879
516,6,78736880
517,11,78736871
518,12,78736881
519,13,78736872
520,14,78736875
521,16,78736879
522,18,78736875
523,1,95456817
524,2,95456820
525,6,95456821
526,11,95456812
527,12,95456822
528,13,95456814
529,14,95456816
530,16,95456820
531,18,95456816
532,1,12177717
533,2,12177721
534,6,12177722
535,11,12177712
536,12,12177722
537,13,12177714
538,14,12177717
539,16,12177720
540,18,12177716
541,1,28898616
542,2,28898619
543,6,28898620
544,11,28898611
545,12,28898621
546,13,28898612
547,14,28898615
548,16,28898619
549,18,28898615
550,1,45619328
551,2,45619331
552,6,45619332
553,11,45619323
554,12,45619333
555,13,45619324
556,14,45619327
557,16,45619331
558,18,45619327
