,DOM,TSCounter,time
1,1.0,1620612001.3,24892782.0
2,2.0,1620612001.3,24892786.0
3,6.0,1620612001.3,24892787.0
4,11.0,1620612001.3,24892778.0
5,12.0,1620612001.3,24892787.0
6,13.0,1620612001.3,24892779.0
7,14.0,1620612001.3,24892782.0
8,16.0,1620612001.3,24892785.0
9,18.0,1620612001.3,24892781.0
10,1.0,1620612002.3,41613248.0
11,2.0,1620612002.3,41613252.0
12,6.0,1620612002.3,41613252.0
13,11.0,1620612002.3,41613244.0
14,12.0,1620612002.3,41613253.0
15,13.0,1620612002.3,41613245.0
16,14.0,1620612002.3,41613248.0
17,16.0,1620612002.3,41613251.0
18,18.0,1620612002.3,41613247.0
19,1.0,1620612003.3,58333997.0
20,2.0,1620612003.3,58334000.0
21,6.0,1620612003.3,58334001.0
22,11.0,1620612003.3,58333992.0
23,12.0,1620612003.3,58334002.0
24,13.0,1620612003.3,58333993.0
25,14.0,1620612003.3,58333996.0
26,16.0,1620612003.3,58334000.0
27,18.0,1620612003.3,58333996.0
28,1.0,1620612004.3,75054417.0
29,2.0,1620612004.3,75054420.0
30,6.0,1620612004.3,75054421.0
31,11.0,1620612004.3,75054412.0
32,12.0,1620612004.3,75054422.0
33,13.0,1620612004.3,75054413.0
34,14.0,1620612004.3,75054416.0
35,16.0,1620612004.3,75054420.0
36,18.0,1620612004.3,75054416.0
37,1.0,1620612005.3,91774791.0
38,2.0,1620612005.3,91774794.0
39,6.0,1620612005.3,91774795.0
40,11.0,1620612005.3,91774786.0
41,12.0,1620612005.3,91774795.0
42,13.0,1620612005.3,91774787.0
43,14.0,1620612005.3,91774790.0
44,16.0,1620612005.3,91774793.0
45,18.0,1620612005.3,91774789.0
46,1.0,1620612006.4,8495461.0
47,2.0,1620612006.4,8495465.0
48,6.0,1620612006.4,8495465.0
49,11.0,1620612006.4,8495456.0
50,12.0,1620612006.4,8495466.0
51,13.0,1620612006.4,8495458.0
52,14.0,1620612006.4,8495461.0
53,16.0,1620612006.4,8495464.0
54,18.0,1620612006.4,8495460.0
55,1.0,1620612007.4,25215758.0
56,2.0,1620612007.4,25215761.0
57,6.0,1620612007.4,25215762.0
58,11.0,1620612007.4,25215753.0
59,12.0,1620612007.4,25215763.0
60,13.0,1620612007.4,25215754.0
61,14.0,1620612007.4,25215757.0
62,16.0,1620612007.4,25215761.0
63,18.0,1620612007.4,25215757.0
64,1.0,1620612008.4,41936237.0
65,2.0,1620612008.4,41936240.0
66,6.0,1620612008.4,41936241.0
67,11.0,1620612008.4,41936232.0
68,12.0,1620612008.4,41936241.0
69,13.0,1620612008.4,41936233.0
70,14.0,1620612008.4,41936236.0
71,16.0,1620612008.4,41936240.0
72,18.0,1620612008.4,41936235.0
73,1.0,1620612009.4,58656469.0
74,2.0,1620612009.4,58656473.0
