,DOM,TSCounter,time,tot
1,1.0,1623055003.8,15872199.0,25.0
2,2.0,1623055003.8,15872202.0,25.0
3,4.0,1623055003.8,15872196.0,25.0
4,5.0,1623055003.8,15872194.0,25.0
5,6.0,1623055003.8,15872203.0,25.0
6,7.0,1623055003.8,15872200.0,25.0
7,8.0,1623055003.8,15872198.0,25.0
8,9.0,1623055003.8,15872195.0,25.0
9,10.0,1623055003.8,15872200.0,25.0
10,11.0,1623055003.8,15872197.0,25.0
11,12.0,1623055003.8,15872195.0,25.0
12,14.0,1623055003.8,15872195.0,25.0
13,16.0,1623055003.8,15872198.0,25.0
14,17.0,1623055003.8,15872195.0,25.0
15,18.0,1623055003.8,15872194.0,25.0
16,1.0,1623055004.8,32592796.0,25.0
17,2.0,1623055004.8,32592800.0,25.0
18,4.0,1623055004.8,32592794.0,25.0
19,5.0,1623055004.8,32592791.0,25.0
20,6.0,1623055004.8,32592801.0,25.0
21,7.0,1623055004.8,32592798.0,25.0
22,8.0,1623055004.8,32592795.0,25.0
23,9.0,1623055004.8,32592792.0,25.0
24,10.0,1623055004.8,32592797.0,25.0
25,11.0,1623055004.8,32592795.0,25.0
26,12.0,1623055004.8,32592792.0,25.0
27,14.0,1623055004.8,32592792.0,25.0
28,16.0,1623055004.8,32592796.0,25.0
29,17.0,1623055004.8,32592793.0,25.0
30,18.0,1623055004.8,32592792.0,25.0
31,1.0,1623055005.8,49313528.0,25.0
32,2.0,1623055005.8,49313531.0,25.0
33,4.0,1623055005.8,49313526.0,25.0
34,5.0,1623055005.8,49313523.0,25.0
35,6.0,1623055005.8,49313532.0,25.0
36,7.0,1623055005.8,49313530.0,25.0
37,8.0,1623055005.8,49313527.0,25.0
38,9.0,1623055005.8,49313524.0,25.0
39,10.0,1623055005.8,49313529.0,25.0
40,11.0,1623055005.8,49313526.0,25.0
41,12.0,1623055005.8,49313524.0,25.0
42,14.0,1623055005.8,49313524.0,25.0
43,16.0,1623055005.8,49313528.0,25.0
44,17.0,1623055005.8,49313524.0,25.0
45,18.0,1623055005.8,49313523.0,26.0
46,1.0,1623055006.8,66033707.0,25.0
47,2.0,1623055006.8,66033711.0,25.0
48,4.0,1623055006.8,66033705.0,25.0
49,5.0,1623055006.8,66033702.0,25.0
50,6.0,1623055006.8,66033712.0,25.0
51,7.0,1623055006.8,66033709.0,25.0
52,8.0,1623055006.8,66033706.0,25.0
53,9.0,1623055006.8,66033703.0,25.0
54,10.0,1623055006.8,66033708.0,25.0
55,11.0,1623055006.8,66033706.0,25.0
56,12.0,1623055006.8,66033703.0,25.0
57,14.0,1623055006.8,66033703.0,25.0
58,16.0,1623055006.8,66033707.0,25.0
59,17.0,1623055006.8,66033704.0,25.0
60,18.0,1623055006.8,66033703.0,25.0
61,1.0,1623055007.8,82754224.0,25.0
62,2.0,1623055007.8,82754227.0,25.0
63,4.0,1623055007.8,82754222.0,25.0
64,5.0,1623055007.8,82754219.0,25.0
65,6.0,1623055007.8,82754228.0,25.0
66,7.0,1623055007.8,82754226.0,25.0
67,8.0,1623055007.8,82754223.0,25.0
68,9.0,1623055007.8,82754220.0,25.0
69,10.0,1623055007.8,82754225.0,25.0
70,11.0,1623055007.8,82754222.0,25.0
71,12.0,1623055007.8,82754220.0,25.0
72,14.0,1623055007.8,82754220.0,25.0
73,16.0,1623055007.8,82754223.0,25.0
74,17.0,1623055007.8,82754220.0,25.0
75,18.0,1623055007.8,82754219.0,26.0
76,1.0,1623055008.8,99474803.0,25.0
77,2.0,1623055008.8,99474807.0,25.0
78,4.0,1623055008.8,99474801.0,25.0
79,5.0,1623055008.8,99474798.0,25.0
80,6.0,1623055008.8,99474808.0,25.0
81,7.0,1623055008.8,99474805.0,25.0
82,8.0,1623055008.8,99474802.0,25.0
83,9.0,1623055008.8,99474799.0,25.0
84,10.0,1623055008.8,99474804.0,25.0
85,11.0,1623055008.8,99474802.0,25.0
86,12.0,1623055008.8,99474799.0,25.0
87,14.0,1623055008.8,99474799.0,25.0
88,16.0,1623055008.8,99474803.0,25.0
89,17.0,1623055008.8,99474800.0,25.0
90,18.0,1623055008.8,99474799.0,25.0
91,1.0,1623055009.9,16194778.0,25.0
92,2.0,1623055009.9,16194781.0,25.0
93,4.0,1623055009.9,16194776.0,25.0
94,5.0,1623055009.9,16194773.0,25.0
95,6.0,1623055009.9,16194782.0,25.0
96,7.0,1623055009.9,16194780.0,25.0
97,8.0,1623055009.9,16194777.0,25.0
98,9.0,1623055009.9,16194774.0,25.0
99,10.0,1623055009.9,16194779.0,25.0
100,11.0,1623055009.9,16194776.0,25.0
101,12.0,1623055009.9,16194774.0,25.0
102,14.0,1623055009.9,16194774.0,25.0
103,16.0,1623055009.9,16194777.0,25.0
104,17.0,1623055009.9,16194774.0,25.0
105,18.0,1623055009.9,16194773.0,25.0
106,1.0,1623055010.9,32914902.0,25.0
107,2.0,1623055010.9,32914905.0,25.0
108,4.0,1623055010.9,32914900.0,25.0
109,5.0,1623055010.9,32914897.0,25.0
110,6.0,1623055010.9,32914906.0,25.0
111,7.0,1623055010.9,32914904.0,25.0
112,8.0,1623055010.9,32914901.0,25.0
113,9.0,1623055010.9,32914898.0,25.0
114,10.0,1623055010.9,32914903.0,25.0
115,11.0,1623055010.9,32914900.0,26.0
116,12.0,1623055010.9,32914898.0,25.0
117,14.0,1623055010.9,32914898.0,25.0
118,16.0,1623055010.9,32914902.0,25.0
119,17.0,1623055010.9,32914899.0,25.0
120,18.0,1623055010.9,32914898.0,25.0
121,1.0,1623055011.9,49635398.0,25.0
122,2.0,1623055011.9,49635401.0,25.0
123,4.0,1623055011.9,49635395.0,25.0
124,5.0,1623055011.9,49635393.0,25.0
125,6.0,1623055011.9,49635402.0,25.0
126,7.0,1623055011.9,49635399.0,25.0
127,8.0,1623055011.9,49635397.0,25.0
128,9.0,1623055011.9,49635394.0,25.0
129,10.0,1623055011.9,49635399.0,25.0
130,11.0,1623055011.9,49635396.0,25.0
