,DOM,delay
1,2,273052
2,2,273134
3,2,273214
4,2,273294
5,2,273376
6,2,273456
7,2,273536
8,2,273617
9,2,273698
10,2,273778
11,2,273859
12,2,273940
13,2,274021
14,2,274101
15,2,274182
16,2,274263
17,2,274344
18,2,274424
19,2,274505
20,2,274585
21,2,274666
22,2,274747
23,2,274827
24,2,274908
25,2,274989
26,2,275069
27,2,275150
28,2,275231
29,2,275311
30,2,275393
31,2,275473
32,2,275553
33,2,275634
34,2,275715
35,2,275795
36,2,275876
37,2,275957
38,2,276037
39,2,276118
40,2,276199
41,2,276279
42,2,276361
43,2,276441
44,2,276522
45,2,276602
46,2,276683
47,2,276764
48,2,276844
49,2,276924
50,2,277006
51,2,277086
52,2,277166
53,2,277248
54,2,277328
55,2,277409
56,2,277490
57,2,277570
58,2,277651
59,2,277732
60,2,277812
61,2,277893
62,2,277974
63,2,278054
64,2,278135
65,2,278216
66,2,278296
67,2,278377
68,2,278458
69,2,278539
70,2,278619
71,2,278699
72,2,278781
73,2,278861
74,2,278942
75,2,279023
76,2,279103
77,2,279183
78,2,279265
79,2,279345
80,2,279425
81,2,279506
82,2,279587
83,2,279668
84,2,279748
85,2,279829
86,2,279911
87,2,279991
88,2,280071
89,2,280152
90,2,280233
91,2,280313
92,2,280394
93,2,280474
94,2,280555
95,2,280636
96,2,280716
97,2,280797
98,2,280878
99,2,280958
100,2,281039
101,2,281120
102,2,281201
103,2,281282
104,2,281362
105,2,281442
106,2,281524
107,2,281604
108,2,281684
109,2,281766
110,2,281846
111,2,281926
112,2,282007
113,2,282088
114,2,282168
115,2,282250
116,2,282330
117,2,282411
118,2,282491
119,2,282572
120,2,282653
121,2,282733
122,2,282814
123,2,282895
124,2,282975
125,2,283055
126,2,283137
127,2,283218
128,2,283297
129,2,283379
130,2,283459
131,2,283540
132,2,283621
133,2,283701
134,2,283782
135,2,283863
136,2,283943
137,2,284024
138,2,284104
139,2,284185
140,2,284266
141,2,284346
142,2,284427
143,2,284508
144,2,284589
145,2,284670
146,2,284750
147,2,284830
148,2,284912
149,2,284992
150,2,285072
151,2,285154
152,2,285234
153,2,285314
154,2,285396
155,2,285476
156,2,285556
157,2,285638
158,2,285718
159,2,285798
160,2,285880
161,2,285960
162,2,286041
163,2,286122
164,2,286202
165,2,286283
166,2,286364
167,2,286444
168,2,286525
169,2,286606
170,2,286686
171,2,286767
172,2,286847
173,2,286928
174,2,287009
175,2,287089
176,2,287171
177,2,287251
178,2,287331
179,2,287413
180,2,287493
181,2,287573
182,2,287654
183,2,287735
184,2,287815
185,2,287896
186,2,287977
187,2,288057
188,2,288138
189,2,288219
190,2,288300
191,2,288380
192,2,288461
193,2,288542
194,2,288623
195,2,288703
196,2,288784
197,2,288865
198,2,288945
199,2,289026
200,2,289106
201,2,289188
202,2,289268
203,2,289348
204,2,289430
205,2,289510
206,2,289590
207,2,289671
208,2,289752
209,2,289832
210,2,289914
211,2,289994
212,2,290074
213,2,290155
214,2,290236
215,2,290316
216,2,290397
217,2,290478
218,2,290559
219,2,290639
220,2,290719
221,2,290801
222,2,290882
223,2,290962
224,2,291043
225,2,291123
226,2,291204
227,2,291285
228,2,291365
229,2,291446
230,2,291527
231,2,291607
232,2,291688
233,2,291769
234,2,291849
235,2,291930
236,2,292011
237,2,292091
238,2,292172
239,2,292253
240,2,292333
241,2,292414
242,2,292494
243,2,292576
244,2,292656
245,2,292736
246,2,292818
247,2,292898
248,2,292978
249,2,293060
250,2,293140
251,2,293220
252,2,293302
253,2,293382
254,2,293463
255,2,293544
256,2,293624
257,2,293704
258,2,293786
259,2,293866
260,2,293947
261,2,294028
262,2,294108
263,2,294189
264,2,294269
265,2,294350
266,2,294431
267,2,294511
268,2,294592
269,2,294673
270,2,294754
271,2,294834
272,2,294915
273,2,294996
274,2,295076
275,2,295157
276,2,295237
277,2,295318
278,2,295399
279,2,295479
280,2,295560
281,2,295641
282,2,295721
283,2,295802
284,2,295883
285,2,295963
286,2,296044
287,2,296125
288,2,296205
289,2,296286
290,2,296367
291,2,296448
292,2,296528
293,2,296608
294,2,296690
295,2,296770
296,2,296851
297,2,296932
298,2,297012
299,2,297093
300,2,297174
301,2,297254
302,2,297335
303,2,297416
304,2,297496
305,2,297577
306,2,297658
307,2,297738
308,2,297819
309,2,297900
310,2,297980
311,2,298061
312,2,298142
313,2,298222
314,2,298303
315,2,298383
316,2,298465
317,2,298545
318,2,298625
319,2,298707
320,2,298787
321,2,298867
322,2,298949
323,2,299029
324,2,299109
325,4,185226
326,4,185308
327,4,185389
328,4,185470
329,4,185551
330,4,185633
331,4,185713
332,4,185796
333,4,185877
334,4,185958
335,4,186040
336,4,186121
337,4,186203
338,4,186285
339,4,186365
340,4,186448
341,4,186529
342,4,186610
343,4,186692
344,4,186773
345,4,186854
346,4,186936
347,4,187017
348,4,187098
349,4,187180
350,4,187262
351,4,187343
352,4,187425
353,4,187506
354,4,187587
355,4,187669
356,4,187750
357,4,187832
358,4,187913
359,4,187994
360,4,188076
361,4,188157
362,4,188238
363,4,188320
364,4,188401
365,4,188483
366,4,188564
367,4,188646
368,4,188728
369,4,188809
370,4,188890
371,4,188972
372,4,189054
373,4,189134
374,4,189216
375,4,189297
376,4,189378
377,4,189461
378,4,189541
379,4,189582
380,4,189665
381,4,189746
382,4,189828
383,4,189909
384,4,189990
385,4,190072
386,4,190153
387,4,190235
388,4,190316
389,4,190358
390,4,190438
391,4,190520
392,4,190602
393,4,190684
394,4,190765
395,4,190846
396,4,190928
397,4,191009
398,4,191090
399,4,191133
400,4,191213
401,4,191295
402,4,191376
403,4,191417
404,4,191499
405,4,191581
406,4,191662
407,4,191742
408,4,191825
409,4,191906
410,4,191988
411,4,192069
412,4,192150
413,4,192232
414,4,192273
415,4,192355
416,4,192437
417,4,192518
418,4,192599
419,4,192681
420,4,192762
421,4,192842
422,4,192925
423,4,193006
424,4,193087
425,4,193169
426,4,193250
427,4,193332
428,4,193413
429,4,193494
430,4,193577
431,4,193658
432,4,193739
433,4,193821
434,4,193902
435,4,193983
436,4,194065
437,4,194146
438,4,194227
